ticker,name,cap,sector,exchange,cur,rs,trend_ok,pattern_ok,signal,score,grade,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,reason,pct_from_pivot,safety,lgbm_score
AGL,애질론 헬스,SmallCap,헬스케어,NYSE,22.68,-39.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AGM,Farmer Mac,MidCap,금융,NYSE,163.08,-12.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,SmallCap,기타,NASDAQ,0.91,-69.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AGNC,AGNC 인베스트먼트,MidCap,부동산,NASDAQ,10.64,-1.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AGO,어슈어드,MidCap,금융,NYSE,82.44,-9.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AGRO,Adecoagro SA,SmallCap,필수소비재,NYSE,13.56,43.9,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AGX,아간,MidCap,산업,NYSE,603.91,144.4,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AGYS,Agilysys,MidCap,기술,NASDAQ,65.17,-44.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AHCO,Adapthealth,SmallCap,헬스케어,NASDAQ,12.77,26.3,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AHG,Akso Health DRC,SmallCap,기술,NASDAQ,2.36,65.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,SmallCap,기타,NASDAQ,1.32,-45.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AHR,American Healthcare REIT,MidCap,부동산,NYSE,48.82,14.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AI,C3.ai,MidCap,기술,NYSE,8.4,-61.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIFF,Firefly Neuroscience  Inc.  - Common Stock,SmallCap,기타,NASDAQ,1.56,-17.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIFU,AIFU Inc. - Class A Ordinary Share,SmallCap,기타,NASDAQ,1.37,-70.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIG,AIG,LargeCap,금융,NYSE,77.02,-10.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIHS,Senmiao Technology Limited - Common Stock,SmallCap,기타,NASDAQ,1.26,-37.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIMD,Ainos  Inc. - Common Stock,SmallCap,기타,NASDAQ,1.65,-44.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIN,Albany Intl,MidCap,산업,NYSE,58.36,-12.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIOT,I.D. Systems,SmallCap,기술,NASDAQ,3.14,-46.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIP,Arteris,SmallCap,기술,NASDAQ,20.17,77.7,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AIR,AAR Corp,MidCap,산업,NYSE,125.99,54.8,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AIRG,Airgain  Inc. - Common Stock,SmallCap,기타,NASDAQ,6.04,44.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIRJ,AirJoule Tech,SmallCap,산업,NASDAQ,3.02,-41.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIRO,AIRO Group Holdings  Inc. - Common Stock,SmallCap,기타,NASDAQ,8.08,-49.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIRS,Airsculpt Technologies,SmallCap,헬스케어,NASDAQ,2.62,-21.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIRT,Air T  Inc. - Common Stock,SmallCap,기타,NASDAQ,22.4,3.8,True,False,False,32,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AISP,Airship AI Holdings  Inc - Class A Common Stock,SmallCap,기타,NASDAQ,2.31,-49.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIT,어플라이드 인더스트,LargeCap,산업,NYSE,292.01,5.1,True,False,False,40,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AIV,아파트먼트,SmallCap,부동산,NYSE,4.1,-50.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AIZ,어슈어런트,LargeCap,금융,NYSE,222.27,-3.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AJG,아서 J 갤러거,LargeCap,금융,NYSE,219.91,-32.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AKAM,아카마이,LargeCap,기술,NASDAQ,88.84,1.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AKAN,Akanda Corp. - Common Shares,SmallCap,기타,NASDAQ,3.13,-92.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AKBA,Akebia Ther,SmallCap,헬스케어,NASDAQ,1.56,-25.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AKTS,Aktis Oncology  Inc. - Common stock,SmallCap,기타,NASDAQ,17.84,8512.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AL,Air Lease Corp,MidCap,금융,NYSE,65.0,9.0,True,False,False,40,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ALAB,Astera Labs,LargeCap,기술,NASDAQ,170.6,39.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ALB,알버말,MidCap,소재,NYSE,189.86,94.3,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ALBT,Avalon GloboCare Corp. - Common Stock,SmallCap,기타,NASDAQ,0.41,-85.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ALCO,Alico  Inc. - Common Stock,SmallCap,기타,NASDAQ,43.05,18.8,True,False,False,56,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,SmallCap,기타,NASDAQ,11.89,-5.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,SmallCap,기타,NASDAQ,10.58,-3.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ALDX,Aldeyra The,SmallCap,헬스케어,NASDAQ,1.79,-59.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ALEC,Alector  Inc. - Common Stock,SmallCap,기타,NASDAQ,2.41,38.6,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
